1.300000e+01 8.832860e-01 -1.241063e-01 5.426986e-03 4.793581e-03 9.692467e-03 6.306300e+04
1.400000e+01 1.538523e+00 4.308231e-01 7.685626e-03 1.182452e-02 8.210209e-03 3.231700e+04
1.500000e+01 2.751650e+00 1.012201e+00 1.113246e-02 3.063263e-02 6.769696e-03 1.569000e+04
1.600000e+01 5.090571e+00 1.627390e+00 1.620144e-02 8.247459e-02 5.473648e-03 7.492000e+03
1.700000e+01 1.152103e+01 2.444174e+00 2.400454e-02 2.765569e-01 5.132685e-03 3.442000e+03
1.800000e+01 3.549201e+01 3.569308e+00 3.561200e-02 1.263942e+00 6.210634e-03 1.572000e+03
1.900000e+01 1.306001e+02 4.872140e+00 5.473133e-02 7.147917e+00 8.509603e-03 6.670000e+02
2.000000e+01 1.017238e+02 4.622262e+00 8.077900e-02 8.217150e+00 2.339686e-03 3.060000e+02
2.100000e+01 1.632390e+03 7.397800e+00 1.221611e-01 1.994145e+02 1.256425e-02 1.340000e+02
2.200000e+01 7.541488e+02 6.625590e+00 2.019968e-01 1.523357e+02 1.841435e-03 4.900000e+01
2.300000e+01 7.987643e+04 1.128824e+01 2.626120e-01 2.097650e+04 5.865609e-02 2.900000e+01
2.400000e+01 2.810546e+04 1.024372e+01 4.082430e-01 1.147386e+04 5.884222e-03 1.200000e+01
